DistrictType,DistrictTTL,SchoolTTL,HighestAchievement,YearAfterGrad,DemographicGrouping,DemographicValue,MedianEarnings,MedianHours,NumRecords
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,9,Gender,Female,32800,1756.5,136
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,9,Gender,Male,36500,1863.5,166
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,9,GPA,<3.0,34000,1843.5,228
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,9,GPA,>=3.0,34400,1741.5,74
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,9,Race/Ethnicity,Asian,33200,1795,54
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,9,Race/Ethnicity,Spanish/Hispanic/Latino,36700,1864.5,42
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,9,Race/Ethnicity,White,34400,1821,171
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,9,Special Education,Not Special Education,35000,1854,251
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,9,Special Education,Special Education,28100,1685,51
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,10,All Students,All,36800,1821,249
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,10,FRPL,FRPL,38000,1940,64
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,10,FRPL,Not FRPL,35800,1799,185
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,10,Gender,Female,33300,1688,111
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,10,Gender,Male,40700,1874.5,138
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,10,GPA,<3.0,36300,1856,189
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,10,GPA,>=3.0,38600,1694.5,60
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,10,Race/Ethnicity,Asian,39000,1789,40
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,10,Race/Ethnicity,Spanish/Hispanic/Latino,36100,1903,32
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,10,Race/Ethnicity,White,35800,1797,147
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,10,Special Education,Not Special Education,39200,1898,207
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,10,Special Education,Special Education,23400,1400,42
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,11,All Students,All,40500,1810.5,192
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,11,FRPL,FRPL,40400,1854,47
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,11,FRPL,Not FRPL,41600,1791,145
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,11,Gender,Female,36300,1639,89
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,11,Gender,Male,43000,1844,103
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,11,GPA,<3.0,39200,1854,143
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,11,GPA,>=3.0,43900,1703,49
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,11,Race/Ethnicity,Asian,35800,1715.5,36
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,11,Race/Ethnicity,White,41000,1689,118
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,12,All Students,All,41100,1878,110
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,12,FRPL,FRPL,43700,1881.5,30
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,12,FRPL,Not FRPL,37200,1878,80
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,12,Gender,Female,35000,1819,51
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,12,Gender,Male,46500,1920,59
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,12,GPA,<3.0,41500,1929.5,78
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,12,GPA,>=3.0,39400,1760.5,32
School Dist,Bellevue School District,Sammamish Sr. High,HS Diploma,13,All Students,All,42700,1891,65
School Dist,Lake Washington School District,Best Sr. High School,HS Diploma,7,All Students,All,27700,1624,99
School Dist,Lake Washington School District,Best Sr. High School,HS Diploma,7,Gender,Female,25100,1550,55
School Dist,Lake Washington School District,Best Sr. High School,HS Diploma,7,Gender,Male,33600,1875.5,44
School Dist,Lake Washington School District,Best Sr. High School,HS Diploma,8,All Students,All,29800,1718,87
School Dist,Lake Washington School District,Best Sr. High School,HS Diploma,8,Gender,Female,28300,1615,48
School Dist,Lake Washington School District,Best Sr. High School,HS Diploma,8,Gender,Male,32900,1827,39
School Dist,Lake Washington School District,Best Sr. High School,HS Diploma,9,All Students,All,32500,1716,70
School Dist,Lake Washington School District,Best Sr. High School,HS Diploma,9,Gender,Female,31500,1592.5,38
School Dist,Lake Washington School District,Best Sr. High School,HS Diploma,9,Gender,Male,33300,1888,32
School Dist,Lake Washington School District,Best Sr. High School,HS Diploma,10,All Students,All,26000,1461,46
School Dist,Lake Washington School District,Best Sr. High School,HS Diploma,11,All Students,All,26800,1639,33
School Dist,Lake Washington School District,Eastlake High School,Associate/Certificate,7,All Students,All,34400,1727,75
School Dist,Lake Washington School District,Eastlake High School,Associate/Certificate,8,All Students,All,36000,1896.5,62
School Dist,Lake Washington School District,Eastlake High School,Associate/Certificate,9,All Students,All,37200,1920,88
School Dist,Lake Washington School District,Eastlake High School,Associate/Certificate,10,All Students,All,42600,1807,72
School Dist,Lake Washington School District,Eastlake High School,Associate/Certificate,11,All Students,All,41400,1755,53
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,7,All Students,All,48700,1936,906
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,7,Gender,Female,47100,1896,488
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,7,Gender,Male,50500,1956,418
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,7,GPA,<3.0,42000,1880,129
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,7,GPA,>=3.0,49900,1941,777
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,7,Race/Ethnicity,Asian,51900,1990.5,98
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,7,Race/Ethnicity,White,47700,1920,777
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,8,All Students,All,52800,1950,783
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,8,Gender,Female,49700,1882,421
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,8,Gender,Male,55900,2030,362
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,8,GPA,<3.0,45700,1995,122
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,8,GPA,>=3.0,54500,1947,661
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,8,Race/Ethnicity,Asian,57300,2040,74
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,8,Race/Ethnicity,White,52500,1945.5,686
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,9,All Students,All,56100,1960.5,742
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,9,Gender,Female,53000,1898.5,400
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,9,Gender,Male,60900,2036,342
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,9,GPA,<3.0,47600,1929.5,118
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,9,GPA,>=3.0,58700,1966,624
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,9,Race/Ethnicity,Asian,64200,1968,67
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,9,Race/Ethnicity,White,55900,1962,653
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,10,All Students,All,60700,1958,595
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,10,Gender,Female,56300,1900,323
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,10,Gender,Male,65500,2038.5,272
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,10,GPA,<3.0,53700,1946,102
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,10,GPA,>=3.0,62500,1963,493
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,10,Race/Ethnicity,Asian,67400,2056,51
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,10,Race/Ethnicity,White,60200,1953,527
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,11,All Students,All,66700,1969.5,426
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,11,Gender,Female,59000,1904,223
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,11,Gender,Male,71500,2018,203
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,11,GPA,<3.0,54400,1978.5,88
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,11,GPA,>=3.0,68500,1964,338
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,12,All Students,All,68700,1964,273
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,12,Gender,Female,64500,1873.5,144
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,12,Gender,Male,72200,2029,129
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,12,GPA,<3.0,55800,2034,54
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,12,GPA,>=3.0,71000,1925,219
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,13,All Students,All,60500,1821,135
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,13,Gender,Female,52000,1696,83
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,13,Gender,Male,70900,1915,52
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,13,GPA,<3.0,50500,1924,30
School Dist,Lake Washington School District,Eastlake High School,Bachelor's or Higher,13,GPA,>=3.0,63800,1795,105
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,7,All Students,All,30500,1671.5,418
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,7,Gender,Female,29900,1561,163
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,7,Gender,Male,30700,1772,255
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,7,GPA,<3.0,29800,1645,270
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,7,GPA,>=3.0,32600,1689.5,148
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,7,Special Education,Not Special Education,30700,1662,357
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,7,Special Education,Special Education,29600,1699,61
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,8,All Students,All,35300,1796,347
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,8,Gender,Female,32000,1504,131
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,8,Gender,Male,36900,1868.5,216
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,8,GPA,<3.0,33200,1763,229
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,8,GPA,>=3.0,38900,1823.5,118
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,8,Special Education,Not Special Education,35700,1783,305
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,8,Special Education,Special Education,33700,1832,42
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,9,All Students,All,36100,1788,329
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,9,Gender,Female,34400,1646,125
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,9,Gender,Male,38700,1863.5,204
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,9,GPA,<3.0,34800,1689,213
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,9,GPA,>=3.0,37900,1856,116
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,9,Special Education,Not Special Education,37400,1800.5,288
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,9,Special Education,Special Education,31400,1504,41
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,10,All Students,All,41300,1832,269
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,10,Gender,Female,40200,1664,99
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,10,Gender,Male,41800,1888,170
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,10,GPA,<3.0,40200,1773,170
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,10,GPA,>=3.0,42800,1872,99
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,10,Special Education,Not Special Education,41900,1832,237
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,10,Special Education,Special Education,32600,1782,32
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,11,All Students,All,42700,1724.5,190
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,11,Gender,Female,39800,1645,65
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,11,Gender,Male,44900,1784,125
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,11,GPA,<3.0,42100,1730.5,126
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,11,GPA,>=3.0,44300,1685,64
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,12,All Students,All,44200,1829,132
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,12,Gender,Female,37600,1488,43
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,12,Gender,Male,48900,1953,89
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,12,GPA,<3.0,42500,1831,88
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,12,GPA,>=3.0,46900,1817,44
School Dist,Lake Washington School District,Eastlake High School,HS Diploma,13,All Students,All,46400,1918,77
School Dist,Lake Washington School District,Futures School,HS Diploma,7,All Students,All,29400,1685,126
School Dist,Lake Washington School District,Futures School,HS Diploma,7,FRPL,FRPL,27400,1825,37
School Dist,Lake Washington School District,Futures School,HS Diploma,7,FRPL,Not FRPL,29500,1652,89
School Dist,Lake Washington School District,Futures School,HS Diploma,7,Gender,Female,27100,1620.5,52
School Dist,Lake Washington School District,Futures School,HS Diploma,7,Gender,Male,34100,1764,74
School Dist,Lake Washington School District,Futures School,HS Diploma,8,All Students,All,33200,1787,111
School Dist,Lake Washington School District,Futures School,HS Diploma,8,FRPL,FRPL,37500,1929.5,30
School Dist,Lake Washington School District,Futures School,HS Diploma,8,FRPL,Not FRPL,31500,1697,81
School Dist,Lake Washington School District,Futures School,HS Diploma,8,Gender,Female,30700,1738.5,42
School Dist,Lake Washington School District,Futures School,HS Diploma,8,Gender,Male,35200,1820,69
School Dist,Lake Washington School District,Futures School,HS Diploma,9,All Students,All,34000,1728,97
School Dist,Lake Washington School District,Futures School,HS Diploma,9,Gender,Female,33300,1728.5,42
School Dist,Lake Washington School District,Futures School,HS Diploma,9,Gender,Male,34600,1711,55
School Dist,Lake Washington School District,Futures School,HS Diploma,10,All Students,All,37400,1882,75
School Dist,Lake Washington School District,Futures School,HS Diploma,11,All Students,All,42400,1804,55
School Dist,Lake Washington School District,Futures School,HS Diploma,12,All Students,All,42900,1757,35
School Dist,Lake Washington School District,International Community School,Bachelor's or Higher,7,All Students,All,51000,1916,131
School Dist,Lake Washington School District,International Community School,Bachelor's or Higher,7,Gender,Female,45900,1851,76
School Dist,Lake Washington School District,International Community School,Bachelor's or Higher,7,Gender,Male,58200,1992,55
School Dist,Lake Washington School District,International Community School,Bachelor's or Higher,8,All Students,All,52000,1918,118
School Dist,Lake Washington School District,International Community School,Bachelor's or Higher,8,Gender,Female,49500,1925.5,66
School Dist,Lake Washington School District,International Community School,Bachelor's or Higher,8,Gender,Male,56500,1880,52
School Dist,Lake Washington School District,International Community School,Bachelor's or Higher,9,All Students,All,55400,1948,99
School Dist,Lake Washington School District,International Community School,Bachelor's or Higher,9,Gender,Female,52800,1918.5,54
School Dist,Lake Washington School District,International Community School,Bachelor's or Higher,9,Gender,Male,57000,2071,45
School Dist,Lake Washington School District,International Community School,Bachelor's or Higher,10,All Students,All,61800,2065,75
School Dist,Lake Washington School District,International Community School,Bachelor's or Higher,10,Gender,Female,58500,1979.5,42
School Dist,Lake Washington School District,International Community School,Bachelor's or Higher,10,Gender,Male,93100,2080,33
School Dist,Lake Washington School District,International Community School,Bachelor's or Higher,11,All Students,All,64300,1999.5,64
School Dist,Lake Washington School District,International Community School,Bachelor's or Higher,12,All Students,All,64500,1984.5,42
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,7,All Students,All,33400,1803,120
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,7,Gender,Female,31700,1836,61
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,7,Gender,Male,36100,1780,59
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,7,GPA,<3.0,31300,1650.5,66
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,7,GPA,>=3.0,36400,1953,54
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,8,All Students,All,36700,1859,125
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,8,Gender,Female,36700,1853.5,62
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,8,Gender,Male,36700,1873,63
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,8,GPA,<3.0,36100,1812,65
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,8,GPA,>=3.0,37800,1914,60
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,9,All Students,All,35700,1779,153
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,9,Gender,Female,36400,1762,79
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,9,Gender,Male,35700,1786,74
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,9,GPA,<3.0,35600,1766,95
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,9,GPA,>=3.0,36800,1829.5,58
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,10,All Students,All,36300,1719,110
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,10,Gender,Female,35500,1681,57
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,10,Gender,Male,37600,1893,53
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,10,GPA,<3.0,35300,1787,72
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,10,GPA,>=3.0,37600,1693.5,38
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,11,All Students,All,40200,1858,89
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,11,Gender,Female,37500,1762,46
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,11,Gender,Male,43900,1947,43
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,12,All Students,All,44800,1889,57
School Dist,Lake Washington School District,Juanita High School,Associate/Certificate,13,All Students,All,46700,1908,32
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,7,All Students,All,42500,1895.5,472
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,7,Gender,Female,43400,1903,249
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,7,Gender,Male,40000,1880,223
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,7,GPA,<3.0,34800,1868.5,90
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,7,GPA,>=3.0,43700,1903.5,382
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,7,Race/Ethnicity,Asian,45100,1921,78
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,7,Race/Ethnicity,White,42300,1884.5,372
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,8,All Students,All,46200,1927.5,430
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,8,Gender,Female,46500,1928,229
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,8,Gender,Male,45000,1924,201
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,8,GPA,<3.0,40500,1902,81
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,8,GPA,>=3.0,47200,1933,349
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,8,Race/Ethnicity,Asian,51200,2036.5,58
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,8,Race/Ethnicity,White,45700,1913,355
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,9,All Students,All,49400,1914,396
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,9,Gender,Female,48400,1908,219
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,9,Gender,Male,51500,1914,177
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,9,GPA,<3.0,43100,1831.5,76
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,9,GPA,>=3.0,51600,1920,320
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,9,Race/Ethnicity,Asian,54500,2022.5,66
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,9,Race/Ethnicity,White,49200,1885,320
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,10,All Students,All,52200,1947,327
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,10,Gender,Female,51300,1913,179
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,10,Gender,Male,53800,1992.5,148
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,10,GPA,<3.0,49900,2005,67
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,10,GPA,>=3.0,53800,1946,260
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,10,Race/Ethnicity,Asian,57000,2043,54
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,10,Race/Ethnicity,White,51700,1945,263
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,11,All Students,All,59900,1962.5,246
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,11,Gender,Female,65000,1968,137
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,11,Gender,Male,56700,1932,109
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,11,GPA,<3.0,52600,1920,63
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,11,GPA,>=3.0,65200,1965,183
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,11,Race/Ethnicity,Asian,62400,2052.5,38
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,11,Race/Ethnicity,White,59700,1920,201
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,12,All Students,All,59500,1874,173
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,12,Gender,Female,60800,1884,100
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,12,Gender,Male,54800,1868,73
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,12,GPA,<3.0,57300,1970,48
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,12,GPA,>=3.0,60600,1867,125
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,13,All Students,All,61400,1906,105
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,13,Gender,Female,61400,1920,64
School Dist,Lake Washington School District,Juanita High School,Bachelor's or Higher,13,Gender,Male,55900,1780,41
School Dist,Lake Washington School District,Juanita High School,HS Diploma,7,All Students,All,31400,1792,438
School Dist,Lake Washington School District,Juanita High School,HS Diploma,7,FRPL,FRPL,34000,1910,75
School Dist,Lake Washington School District,Juanita High School,HS Diploma,7,FRPL,Not FRPL,31200,1780,363
School Dist,Lake Washington School District,Juanita High School,HS Diploma,7,Gender,Female,27800,1702.5,196
School Dist,Lake Washington School District,Juanita High School,HS Diploma,7,Gender,Male,34500,1845.5,242
School Dist,Lake Washington School District,Juanita High School,HS Diploma,7,GPA,<3.0,31300,1829,327
School Dist,Lake Washington School District,Juanita High School,HS Diploma,7,GPA,>=3.0,32300,1631,111
School Dist,Lake Washington School District,Juanita High School,HS Diploma,7,Race/Ethnicity,Asian,35900,1918,49
School Dist,Lake Washington School District,Juanita High School,HS Diploma,7,Race/Ethnicity,Spanish/Hispanic/Latino,32300,1893,31
School Dist,Lake Washington School District,Juanita High School,HS Diploma,7,Race/Ethnicity,White,30900,1748,327
School Dist,Lake Washington School District,Juanita High School,HS Diploma,7,Special Education,Not Special Education,31500,1780,359
School Dist,Lake Washington School District,Juanita High School,HS Diploma,7,Special Education,Special Education,31200,1886,79
School Dist,Lake Washington School District,Juanita High School,HS Diploma,8,All Students,All,33400,1771,379
School Dist,Lake Washington School District,Juanita High School,HS Diploma,8,FRPL,FRPL,33900,1853,64
School Dist,Lake Washington School District,Juanita High School,HS Diploma,8,FRPL,Not FRPL,33400,1742,315
School Dist,Lake Washington School District,Juanita High School,HS Diploma,8,Gender,Female,31100,1742,169
School Dist,Lake Washington School District,Juanita High School,HS Diploma,8,Gender,Male,35900,1781,210
School Dist,Lake Washington School District,Juanita High School,HS Diploma,8,GPA,<3.0,34000,1786,287
School Dist,Lake Washington School District,Juanita High School,HS Diploma,8,GPA,>=3.0,32200,1741,92
School Dist,Lake Washington School District,Juanita High School,HS Diploma,8,Race/Ethnicity,Asian,38500,2033,48
School Dist,Lake Washington School District,Juanita High School,HS Diploma,8,Race/Ethnicity,White,33000,1731,283
School Dist,Lake Washington School District,Juanita High School,HS Diploma,8,Special Education,Not Special Education,33600,1774,316
School Dist,Lake Washington School District,Juanita High School,HS Diploma,8,Special Education,Special Education,32300,1729,63
School Dist,Lake Washington School District,Juanita High School,HS Diploma,9,All Students,All,33600,1781,364
School Dist,Lake Washington School District,Juanita High School,HS Diploma,9,FRPL,FRPL,34600,1726.5,70
School Dist,Lake Washington School District,Juanita High School,HS Diploma,9,FRPL,Not FRPL,33500,1792.5,294
School Dist,Lake Washington School District,Juanita High School,HS Diploma,9,Gender,Female,32100,1709.5,160
School Dist,Lake Washington School District,Juanita High School,HS Diploma,9,Gender,Male,35100,1827,204
School Dist,Lake Washington School District,Juanita High School,HS Diploma,9,GPA,<3.0,33500,1738,281
School Dist,Lake Washington School District,Juanita High School,HS Diploma,9,GPA,>=3.0,34400,1869,83
School Dist,Lake Washington School District,Juanita High School,HS Diploma,9,Race/Ethnicity,Asian,40600,1953,46
School Dist,Lake Washington School District,Juanita High School,HS Diploma,9,Race/Ethnicity,White,32500,1726,267
School Dist,Lake Washington School District,Juanita High School,HS Diploma,9,Special Education,Not Special Education,33800,1813,315
School Dist,Lake Washington School District,Juanita High School,HS Diploma,9,Special Education,Special Education,32400,1705,49
School Dist,Lake Washington School District,Juanita High School,HS Diploma,10,All Students,All,34800,1804,270
School Dist,Lake Washington School District,Juanita High School,HS Diploma,10,FRPL,FRPL,36500,1812,52
School Dist,Lake Washington School District,Juanita High School,HS Diploma,10,FRPL,Not FRPL,34500,1803.5,218
School Dist,Lake Washington School District,Juanita High School,HS Diploma,10,Gender,Female,31000,1770,115
School Dist,Lake Washington School District,Juanita High School,HS Diploma,10,Gender,Male,37300,1858,155
School Dist,Lake Washington School District,Juanita High School,HS Diploma,10,GPA,<3.0,34900,1807,209
School Dist,Lake Washington School District,Juanita High School,HS Diploma,10,GPA,>=3.0,34200,1769,61
School Dist,Lake Washington School District,Juanita High School,HS Diploma,10,Race/Ethnicity,Asian,38200,1817,35
School Dist,Lake Washington School District,Juanita High School,HS Diploma,10,Race/Ethnicity,White,34800,1800,199
School Dist,Lake Washington School District,Juanita High School,HS Diploma,10,Special Education,Not Special Education,36000,1804,234
School Dist,Lake Washington School District,Juanita High School,HS Diploma,10,Special Education,Special Education,29800,1802.5,36
School Dist,Lake Washington School District,Juanita High School,HS Diploma,11,All Students,All,35200,1827,196
School Dist,Lake Washington School District,Juanita High School,HS Diploma,11,FRPL,FRPL,34300,1854,41
